X,Y,FID,GEODB_OID,GEODB_SUBT,OBJECTID,ASSETID,OWNER,MAINTRESP,LOCATIONID,IMAGEPATH,BIKEPARKTY,NUMSPACES,NUMUNITS,BPLEVEL,BPSTYLE,FINISH,MOUNTING,COVERED,BPFUND,ROTATION
-122.680058282751489,45.520927555064496,2059,2009,BPRackST,2009,5220-0002678,PDXTRANS,PDXTRANS,BF66964, ,5220,0,0, ,STAPLE, , , , ,0
-122.680467858753602,45.521800750493263,2060,2307,BPRackST,2307,5220-0001995,PDXTRANS,PDXTRANS,BF65954, ,5220,0,0, ,STAPLE, , , , ,0
-122.68430500263851,45.52879190749595,2061,2809,BPRackST,2809,5220-0003135,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.685905908043566,45.517514482169574,2062,2107,BPRackST,2107,5220-0001824,PDXTRANS,PDXTRANS,BF54779, ,5220,0,0, ,STAPLE, , , , ,0
-122.668330866088922,45.562646697859513,2063,2508,BPRackST,2508,5220-0004072,PDXTRANS,PDXTRANS,BF5121, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.699668255339546,45.524644932289313,2064,2608,BPRackST,2608,5220-0000104,PDXTRANS,UNKNOWN,BF31542, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.676597760677623,45.525400624216431,2065,2708,BPRackST,2708,5220-0003036,PDXTRANS,PDXTRANS,BF28226, ,5220,2,0, ,STNLES, , , , ,180
-122.693400115183209,45.532080705791181,2066,2210,BPRackST,2210,5220-0002902,PDXTRANS,PDXTRANS,BF30432, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.684293698745677,45.528792275339313,2067,2810,BPRackST,2810,5220-0003136,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.680314697850051,45.521759792711627,2068,2308,BPRackST,2308,5220-0001996,PDXTRANS,PDXTRANS,BF65954, ,5220,0,0, ,STAPLE, , , , ,0
-122.69942776761863,45.524609486946858,2069,2609,BPRackST,2609,5220-0000107,PDXTRANS,UNKNOWN,BF31546, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.685913155361931,45.517065345782385,2070,2108,BPRackST,2108,5220-0001819,PDXTRANS,PDXTRANS,BF54747, ,5220,0,0, ,STAPLE, , , , ,0
-122.676598533742151,45.52546044832274,2071,2709,BPRackST,2709,5220-0003037,PDXTRANS,PDXTRANS,BF28226, ,5220,2,0, ,STNLES, , , , ,180
-122.680298830750658,45.52099308972911,2072,2010,BPRackST,2010,5220-0002679,PDXTRANS,PDXTRANS,BF66964, ,5220,0,0, ,STAPLE, , , , ,0
-122.693216766594588,45.532084043643835,2073,2211,BPRackST,2211,5220-0002903,PDXTRANS,PDXTRANS,BF30432, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.666833838661859,45.56244846775224,2074,2509,BPRackST,2509,5220-0004073,PDXTRANS,PDXTRANS,BF9252, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.684282600585249,45.52879233330605,2075,2811,BPRackST,2811,5220-0003137,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.680847113733364,45.521902169066472,2076,2309,BPRackST,2309,5220-0002745,PDXTRANS,PDXTRANS,BF65954, ,5220,0,0, ,STAPLE, , , , ,0
-122.680671051310881,45.521214823747059,2077,2011,BPRackST,2011,5220-0002687,PDXTRANS,PDXTRANS,BF66983, ,5220,0,0, ,STAPLE, , , , ,0
-122.687604710160201,45.514378066546712,2078,2109,BPRackST,2109,5220-0000932,PDXTRANS,UNKNOWN,BF54783, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.68609060661062,45.518728354359354,2079,2610,BPRackST,2610,5220-0002942,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.677435488465377,45.513362980562569,2080,2212,BPRackST,2212,5220-0002904,PDXTRANS,PDXTRANS,BF60083, ,5220,0,0, ,STAPLE, , ,N, ,331
-122.676602540729817,45.525604626652459,2081,2710,BPRackST,2710,5220-0003038,PDXTRANS,PDXTRANS,BF28226, ,5220,2,0, ,STNLES, , , , ,180
-122.694602641372086,45.528912570167485,2082,2510,BPRackST,2510,5220-0004074,PDXTRANS,PDXTRANS,BF27722, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.684271290810699,45.528792548276449,2083,2812,BPRackST,2812,5220-0003138,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.680956743326504,45.522692609762494,2084,2310,BPRackST,2310,5220-0002740,PDXTRANS,PDXTRANS,BF64253, ,5220,0,0, ,STAPLE, , , , ,0
-122.687302101594341,45.514945925291038,2085,2110,BPRackST,2110,5220-0002784,PDXTRANS,PDXTRANS,BF54782, ,5220,0,0, ,STAPLE, , , , ,0
-122.680909285339297,45.521278588295722,2086,2012,BPRackST,2012,5220-0000704,PDXTRANS,UNKNOWN,BF66983, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.677397948373553,45.512879483115057,2087,2213,BPRackST,2213,5220-0002905,PDXTRANS,PDXTRANS,BF55754, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.686036439103077,45.518714146435009,2088,2611,BPRackST,2611,5220-0002943,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.699295776196948,45.534120971524864,2089,2511,BPRackST,2511,5220-0004075,PDXTRANS,PDXTRANS,BF30796, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.676609008576889,45.525773334442462,2090,2711,BPRackST,2711,5220-0003039,PDXTRANS,PDXTRANS,BF28226, ,5220,2,0, ,STNLES, , , , ,180
-122.684260410145654,45.528792602107004,2091,2813,BPRackST,2813,5220-0003139,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.67299209588576,45.522212526881098,2092,2311,BPRackST,2311,5220-0000441,PDXTRANS,PDXTRANS,BF58514, ,5220,0,0, ,STAPLE, , ,U, ,0
-122.684003045300869,45.520618111939243,2093,2111,BPRackST,2111,5220-0001900,PDXTRANS,PDXTRANS,BF54742, ,5220,0,0, ,STAPLE, , , , ,0
-122.685986861759361,45.518700653354543,2094,2612,BPRackST,2612,5220-0002944,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.677263354174599,45.513128124967977,2095,2214,BPRackST,2214,5220-0002906,PDXTRANS,PDXTRANS,BF55754, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.681973881708572,45.521440303191696,2096,2013,BPRackST,2013,5220-0002689,PDXTRANS,PDXTRANS,BF66966, ,5220,0,0, ,STAPLE, , , , ,0
-122.698647091258294,45.533020740086904,2097,2512,BPRackST,2512,5220-0004076,PDXTRANS,PDXTRANS,BF27873, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.676484212651829,45.526364467077137,2098,2712,BPRackST,2712,5220-0003040,PDXTRANS,PDXTRANS,BF28235, ,5220,2,0, ,STNLES, , , , ,180
-122.672860520921773,45.522177253727506,2099,2312,BPRackST,2312,5220-0002751,PDXTRANS,PDXTRANS,BF58514, ,5220,0,0, ,STAPLE, , , , ,0
-122.684315247939793,45.528769683273907,2100,2814,BPRackST,2814,5220-0003140,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.684867879578917,45.515125968046689,2101,2112,BPRackST,2112,5220-0001795,PDXTRANS,PDXTRANS,BF54641, ,5220,0,0, ,STAPLE, , , , ,0
-122.677988649466101,45.512878811969259,2102,2215,BPRackST,2215,5220-0002907,PDXTRANS,PDXTRANS,BF59961, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.685953430726258,45.518691664957757,2103,2613,BPRackST,2613,5220-0002945,PDXTRANS,PDXTRANS,BF65496, ,5220,0,0, ,STAPLE, , ,N, ,0
-122.681717794617512,45.521371572101067,2104,2014,BPRackST,2014,5220-0002690,PDXTRANS,PDXTRANS,BF66966, ,5220,0,0, ,STAPLE, , , , ,0
-122.684304149783742,45.528769741242797,2105,2815,BPRackST,2815,5220-0003141,PDXTRANS,PDXTRANS,BF27366, ,5220,2,0, ,STAPLE, , ,N,N,180
-122.698645209948708,45.533060410013263,2106,2513,BPRackST,2513,5220-0004077,PDXTRANS,PDXTRANS,BF27873, ,5220,2,0, ,STAPLE, , ,N,N,0
-122.676618625266812,45.526420691170493,2107,2713,BPRackST,2713,5220-0003041,PDXTRANS,PDXTRANS,BF28227, ,5220,2,0, ,STNLES, , , , ,180
-122.672733705428911,45.522143252462769,2108,2313,BPRackST,2313,5220-0002750,PDXTRANS,PDXTRANS,BF58514, ,5220,0,0, ,STAPLE, , , , ,0
-122.682991480791955,45.518576698666827,2109,2113,BPRackST,2113,5220-0001804,PDXTRANS,PDXTRANS,BF54637, ,5220,0,0, ,STAPLE, , , , ,0
